MotifRef,CaseRef,Motif_Type
RM/JO/10,C/JO/2882,Pilgrimage
RM/JO/102,C/EGD/935,Trinity
RM/JO/104,C/EGD/1533,Three
RM/JO/105,C/JO/3248,Three
RM/JO/106,C/EGD/1558,Three
RM/JO/107,C/EGD/745,Nine
RM/JO/109,C/EGD/2158,Three
RM/JO/11,C/EGD/2194,Prayer
RM/JO/110,C/EGD/2168,Three
RM/JO/111,C/EGD/217,Prayer
RM/JO/112,C/EGD/2269,Three
RM/JO/41,C/EGD/2453,Eschatology
RM/JO/42,C/EGD/2453,Trinity
RM/JO/45,C/EGD/162,Three
RM/JO/46,C/EGD/1861,Three
RM/JO/47,C/EGD/2231,Prayer
RM/JO/48,C/EGD/2471,Prayer
RM/JO/49,C/EGD/1309,Three
RM/JO/5,C/EGD/1861,Cross
RM/JO/51,C/EGD/1855,Prayer
RM/JO/52,C/EGD/1825,Prayer
RM/JO/53,C/EGD/1825,Three
RM/JO/54,C/EGD/2150,Prayer
RM/JO/55,C/EGD/2150,Three
RM/JO/56,C/EGD/2172,Eschatology
RM/JO/57,C/EGD/2172,Prayer
RM/JO/58,C/EGD/2172,Saints
RM/JO/59,C/EGD/2172,Nine
RM/JO/6,C/EGD/1861,Prayer
RM/JO/60,C/EGD/2160,Three
RM/JO/61,C/EGD/2174,Three
RM/JO/62,C/EGD/2154,Nine
RM/JO/63,C/EGD/2154,Pilgrimage
RM/JO/64,C/EGD/2123,Three
RM/JO/65,C/EGD/2141,Cross
RM/JO/66,C/EGD/2141,Three
RM/JO/67,C/EGD/2141,Trinity
RM/JO/68,C/EGD/2141,Prayer
RM/JO/69,C/EGD/2141,Nine
RM/JO/7,C/EGD/2005,Prayer
RM/JO/70,C/EGD/2312,Three
RM/JO/71,C/JO/3044,Three
RM/JO/72,C/EGD/2327,Three
RM/JO/8,C/EGD/1770,Three
RM/JO/80,C/JO/3059,Angels
RM/JO/81,C/EGD/1045,Prayer
RM/JO/82,C/EGD/1045,Trinity
RM/JO/83,C/EGD/2262,Prayer
RM/JO/84,C/EGD/2262,Trinity
RM/JO/85,C/EGD/2262,Three
RM/JO/86,C/EGD/2148,Prayer
RM/JO/87,C/JO/3095,Three
RM/JO/88,C/EGD/2140,Three
RM/JO/89,C/JO/3093,Three
RM/JO/9,C/JO/2882,Holy well
RM/LA/1,C/EGD/160,Flask of Water
RM/LA/100,C/EGD/110,Prayer
RM/LA/101,C/EGD/345,Holy well
RM/LA/102,C/EGD/1558,Trinity
RM/LA/103,C/EGD/1558,Saints
RM/LA/107,C/EGD/745,Nine
RM/LA/108,C/JO/3107,Nine
RM/LA/109,C/EGD/157,Nine
RM/LA/110,C/EGD/217,Prayer
RM/LA/114,C/EGD/2410,Nine
RM/LA/115,C/EGD/170,Baptism Imagery
RM/LA/13,C/EGD/147,Nine
RM/LA/17,C/EGD/142,Three
RM/LA/18,C/EGD/142,Prayer
RM/LA/19,C/EGD/142,Nine
RM/LA/2,C/EGD/170,Three
RM/LA/20,C/EGD/142,Holy water
RM/LA/21,C/EGD/935,Prayer
RM/LA/22,C/EGD/935,Three
RM/LA/23,C/EGD/935,Nine
RM/LA/24,C/EGD/149,Prayer
RM/LA/25,C/EGD/137,Nine
RM/LA/26,C/EGD/131,Prayer
RM/LA/27,C/EGD/131,Nine
RM/LA/28,C/EGD/136,Three
RM/LA/29,C/EGD/136,Prayer
RM/LA/3,C/EGD/183,Prayer
RM/LA/30,C/EGD/136,Saints
RM/LA/31,C/EGD/59,Eschatology
RM/LA/32,C/EGD/63,Prayer
RM/LA/33,C/EGD/63,Nine
RM/LA/34,C/EGD/63,Six
RM/LA/37,C/EGD/110,Baptising animals
RM/LA/38,C/EGD/1268,Nine
RM/LA/39,C/EGD/1268,Three
RM/LA/4,C/EGD/1605,Three
RM/LA/40,C/EGD/1278,Three
RM/LA/41,C/EGD/1284,Nine
RM/LA/42,C/EGD/882,Prayer
RM/LA/43,C/EGD/882,Three
RM/LA/44,C/EGD/882,Sign of the cross
RM/LA/45,C/EGD/789,Prayer
RM/LA/46,C/EGD/791,Prayer
RM/LA/47,C/EGD/792,Prayer
RM/LA/48,C/EGD/790,Prayer
RM/LA/49,C/EGD/793,Prayer
RM/LA/50,C/EGD/798,Prayer
RM/LA/54,C/EGD/1094,Three
RM/LA/55,C/EGD/1094,Trinity
RM/LA/70,C/EGD/2219,Nine
RM/LA/71,C/EGD/2235,Three
RM/LA/72,C/EGD/2235,Trinity
RM/LA/73,C/EGD/2210,Trinity
RM/LA/74,C/EGD/2234,Nine
RM/LA/75,C/EGD/2215,Three
RM/LA/76,C/EGD/2263,Three
RM/LA/77,C/EGD/2256,Holy well
RM/LA/78,C/EGD/2256,Three
RM/LA/79,C/EGD/2256,Trinity
RM/LA/86,C/EGD/213,Holy well
RM/LA/87,C/EGD/785,Prayer
RM/LA/88,C/EGD/785,Three
RM/LA/89,C/EGD/785,Bible
RM/LA/90,C/EGD/317,Holy well
RM/LA/91,C/EGD/316,Three
RM/LA/92,C/EGD/316,Trinity
RM/LA/93,C/EGD/316,Saints
RM/LA/94,C/EGD/316,Prayer
RM/LA/95,C/EGD/794,Prayer
RM/LA/96,C/EGD/28,Trinity
RM/LA/97,C/EGD/28,Prayer
RM/LA/98,C/EGD/28,Holy well
RM/LA/99,C/EGD/107,Three